 	units	id	index	x	y	z	radius	name-id
1	pixel	118	1	1704.00	606	1	13.33	0
2	pixel	118	2	2429.67	518.67	3	13.33	0
3	pixel	118	3	2556.67	1392.33	4	13.33	0
4	pixel	118	4	2185.67	495.33	7	13.33	0
5	pixel	118	5	2414.67	876	10	13.33	0
6	pixel	118	6	1583.67	970	10	13.33	0
7	pixel	118	7	2100.33	1243	9	13.33	0
8	pixel	118	8	1339.33	1778	13	13.33	0
9	pixel	118	9	1167.00	1779	15	13.33	0
10	pixel	118	10	1032.67	2081	20	13.33	0
11	pixel	118	11	1567.33	1291	22	13.33	0
12	pixel	118	12	2091.33	1715	23	13.33	0
13	pixel	118	13	1481.33	1534	25	13.33	0
14	pixel	118	14	1677.33	575	26	13.33	0
15	pixel	118	15	1426.33	1252	28	13.33	0
16	pixel	118	16	2209.33	2264	28	13.33	0
17	pixel	121	1	1426	478	2	13.33	0
18	pixel	121	2	1221.67	1125.67	1	13.33	0
19	pixel	121	3	1020.33	668.67	2	13.33	0
20	pixel	121	4	2663	1227.67	1	13.33	0
21	pixel	121	5	1192	1626.67	1	13.33	0
22	pixel	121	6	2483	1798.67	2	13.33	0
23	pixel	121	7	1377	1979.67	2	13.33	0
24	pixel	121	8	2370	2251.67	1	13.33	0
25	pixel	121	9	2911	2234.67	1	13.33	0
26	pixel	121	10	1027	764.67	4	13.33	0
27	pixel	121	11	2501	702.67	4	13.33	0
28	pixel	121	12	1125	1896.67	4	13.33	0
29	pixel	121	13	2749	1499.67	4	13.33	0
30	pixel	121	14	1873	2168.67	4	13.33	0
31	pixel	121	15	2586	2215.67	4	13.33	0
32	pixel	121	16	1936	2206.67	3	13.33	0
33	pixel	121	17	1167	935.67	6	13.33	0
34	pixel	121	18	1896	546.67	5	13.33	0
35	pixel	121	19	2099	642.67	5	13.33	0
36	pixel	121	20	2115	1052.67	5	13.33	0
37	pixel	121	21	1766	490.67	5	13.33	0
38	pixel	121	22	2628	834.67	5	13.33	0
39	pixel	121	23	2824	1058.67	6	13.33	0
40	pixel	121	24	2267	1286.67	6	13.33	0
41	pixel	121	25	2245	2224.67	7	13.33	0
42	pixel	121	26	1769	772.67	7	13.33	0
43	pixel	121	27	2198	1396.67	8	13.33	0
44	pixel	121	28	1190	549.67	10	13.33	0
45	pixel	121	29	2218	567.33	10	13.33	0
46	pixel	121	30	2342	1518.67	10	13.33	0
47	pixel	121	31	1988	1598.67	10	13.33	0
48	pixel	121	32	2387	1665.67	9	13.33	0
49	pixel	121	33	2177	836.67	10	13.33	0
50	pixel	121	34	1603	1817.67	14	13.33	0
51	pixel	121	35	1930	919.67	16	13.33	0
52	pixel	121	36	2210	1392.67	15	13.33	0
53	pixel	121	37	1708	780.67	17	13.33	0
54	pixel	121	38	2218	921.67	18	13.33	0
55	pixel	121	39	2725	1114.67	18	13.33	0
56	pixel	121	40	1127	1051.67	20	13.33	0
57	pixel	121	41	1233	854.67	20	13.33	0
58	pixel	121	42	2072	1992.67	20	13.33	0
59	pixel	121	43	1780	1370.67	19	13.33	0
60	pixel	121	44	1322	381.67	19	13.33	0
61	pixel	121	45	1895	641.33	22	13.33	0
62	pixel	121	46	2116	1321.33	22	13.33	0
63	pixel	121	47	1217	1437.33	22	13.33	0
64	pixel	121	48	1259	1810.33	22	13.33	0
65	pixel	121	49	2661	1943.33	22	13.33	0
66	pixel	121	50	2878	2003.33	21	13.33	0
67	pixel	121	51	1556	2198.33	21	13.33	0
68	pixel	121	52	2055	1019.33	23	13.33	0
69	pixel	121	53	2448	647.33	23	13.33	0
70	pixel	121	54	2711	1213.33	24	13.33	0
71	pixel	121	55	1761	1834.33	24	13.33	0
72	pixel	121	56	1300	1770.33	23	13.33	0
73	pixel	121	57	2651	1677.33	24	13.33	0
74	pixel	121	58	1049	489.33	23	13.33	0
75	pixel	121	59	2366	786.33	26	13.33	0
76	pixel	121	60	2683	437.33	25	13.33	0
77	pixel	121	61	2574	1716.33	25	13.33	0
78	pixel	121	62	2358	2072.33	26	13.33	0
79	pixel	121	63	1918	675.33	28	13.33	0
80	pixel	121	64	1381	440.33	28	13.33	0
81	pixel	121	65	1234	1869.33	27	13.33	0
82	pixel	121	66	1909	1832.33	27	13.33	0
83	pixel	121	67	2199	2013.33	28	13.33	0
84	pixel	124	1	1632.00	798.00	1	13.33	0
85	pixel	124	2	1822.67	752.67	2	13.33	0
86	pixel	124	3	2751.67	546.33	1	13.33	0
87	pixel	124	4	2896.67	470.00	2	13.33	0
88	pixel	124	5	1246.67	1813.67	1	13.33	0
89	pixel	124	6	1599.33	1829.67	2	13.33	0
90	pixel	124	7	2106.33	1921.67	2	13.33	0
91	pixel	124	8	1806.33	1908.67	1	13.33	0
92	pixel	124	9	2370.33	1542.67	1	13.33	0
93	pixel	124	10	2566.33	1502.67	2	13.33	0
94	pixel	124	11	2721.33	1900.67	1	13.33	0
95	pixel	124	12	2915.33	1896.67	2	13.33	0
96	pixel	124	13	2138.33	2190.67	2	13.33	0
97	pixel	124	14	1861.33	2158.67	1	13.33	0
98	pixel	124	15	1637.33	917.67	3	13.33	0
99	pixel	124	16	1697.33	1026.67	4	13.33	0
100	pixel	124	17	2043.33	919.67	4	13.33	0
101	pixel	124	18	2013.33	838.67	3	13.33	0
102	pixel	124	19	1605.33	640.67	3	13.33	0
103	pixel	124	20	1671.33	734.67	4	13.33	0
104	pixel	124	21	1355.33	1052.67	4	13.33	0
105	pixel	124	22	1227.33	920.67	3	13.33	0
106	pixel	124	23	2913	1020.67	3	13.33	0
107	pixel	124	24	2980.00	1076.67	4	13.33	0
108	pixel	124	25	2253	1889.67	3	13.33	0
109	pixel	124	26	2447	2008.67	4	13.33	0
110	pixel	124	27	2441	1791.67	4	13.33	0
111	pixel	124	28	2261	1690.67	3	13.33	0
112	pixel	124	29	1753.00	1893.67	3	13.33	0
113	pixel	124	30	1942	1984.67	4	13.33	0
114	pixel	124	31	1429.00	742.67	6	13.33	0
115	pixel	124	32	1592.00	732.67	5	13.33	0
116	pixel	124	33	2677	355.67	5	13.33	0
117	pixel	124	34	2458	427.33	6	13.33	0
118	pixel	124	35	1889.00	598.33	8	13.33	0
119	pixel	124	36	2008	593.33	7	13.33	0
120	pixel	124	37	2369	1028.33	8	13.33	0
121	pixel	124	38	2394	1041.33	7	13.33	0
122	pixel	124	39	2662	490.33	8	13.33	0
123	pixel	124	40	2927	473.33	7	13.33	0
124	pixel	124	41	2025	1370.33	7	13.33	0
125	pixel	124	42	2018	1417.33	8	13.33	0
126	pixel	124	43	2298	1765.33	8	13.33	0
127	pixel	124	44	2258	1719.33	7	13.33	0
128	pixel	124	45	1646.00	1839.33	8	13.33	0
129	pixel	124	46	1542.00	1797.33	7	13.33	0
130	pixel	124	47	2536	1747.33	8	13.33	0
