 	units	id	index	x	y	z	radius	name-id
1	pixel	88	1	1555	1314	2	13.33	0
2	pixel	88	2	1945.67	676.67	6	13.33	0
3	pixel	88	3	2320.67	1231.33	6	13.33	0
4	pixel	88	4	1964.67	1389.33	5	13.33	0
5	pixel	88	5	2032.67	2194.33	6	13.33	0
6	pixel	88	6	2594.67	1638.33	5	13.33	0
7	pixel	88	7	1073.67	1607.33	8	13.33	0
8	pixel	88	8	1074.33	1678.33	8	13.33	0
9	pixel	88	9	2631.33	1614.33	13	13.33	0
10	pixel	88	10	2264.33	1085.33	16	13.33	0
11	pixel	88	11	2311.33	1678.33	16	13.33	0
12	pixel	88	12	1993.33	2243.33	16	13.33	0
13	pixel	88	13	2829.33	2183.33	16	13.33	0
14	pixel	88	14	2176.33	365.33	17	13.33	0
15	pixel	88	15	2721.33	2233	18	13.33	0
16	pixel	88	16	1415.33	1189	19	13.33	0
17	pixel	88	17	1983.33	2236	22	13.33	0
18	pixel	88	18	1847.33	2117	21	13.33	0
19	pixel	91	1	2060.00	1657.00	1	13.33	0
20	pixel	91	2	2305.67	1690.67	1	13.33	0
21	pixel	91	3	2275.67	1809.67	2	13.33	0
22	pixel	91	4	1615.67	2061.67	2	13.33	0
23	pixel	91	5	2110.33	1078.67	3	13.33	0
24	pixel	91	6	2897.33	1208.33	4	13.33	0
25	pixel	91	7	2653.33	1246.33	4	13.33	0
26	pixel	91	8	2681.33	1400.33	3	13.33	0
27	pixel	91	9	1144.33	669.33	3	13.33	0
28	pixel	91	10	2753	1131.00	5	13.33	0
29	pixel	91	11	1368.00	2067	6	13.33	0
30	pixel	91	12	1065.00	2206	6	13.33	0
31	pixel	91	13	1470.67	2229	5	13.33	0
32	pixel	91	14	1149.67	689.00	7	13.33	0
33	pixel	91	15	1442.67	652.00	7	13.33	0
34	pixel	91	16	2286.67	1144.67	7	13.33	0
35	pixel	91	17	2424.67	907.67	7	13.33	0
36	pixel	91	18	2919.67	765.67	8	13.33	0
37	pixel	91	19	2290.67	390.67	8	13.33	0
38	pixel	91	20	1090.67	1486.33	7	13.33	0
39	pixel	91	21	2131.67	1950.33	7	13.33	0
40	pixel	91	22	2156.67	1782.33	8	13.33	0
41	pixel	91	23	2341.67	1287.33	7	13.33	0
42	pixel	91	24	2485.67	1180.33	10	13.33	0
43	pixel	91	25	2356.67	1761.33	10	13.33	0
44	pixel	91	26	1018.67	1970.33	9	13.33	0
45	pixel	91	27	1544.33	2247.33	9	13.33	0
46	pixel	91	28	1826.33	2029.33	9	13.33	0
47	pixel	91	29	1037.33	1290.33	9	13.33	0
48	pixel	91	30	1606.33	655.33	13	13.33	0
49	pixel	91	31	1467.33	819.33	13	13.33	0
50	pixel	91	32	2255.33	944.33	14	13.33	0
51	pixel	91	33	1762.33	817.33	13	13.33	0
52	pixel	91	34	1987.33	1426.33	13	13.33	0
53	pixel	91	35	1271.33	1913.33	14	13.33	0
54	pixel	91	36	1227.33	2143.33	14	13.33	0
55	pixel	91	37	1459.33	1991.33	14	13.33	0
56	pixel	91	38	2732.33	2034.33	13	13.33	0
57	pixel	91	39	1781.33	1665.33	13	13.33	0
